views;respects;tot_recommendations
2176;5;58
4483;19;46
10709;12;316
2114;4;316
3736;9;36
4038;12;74
2544;5;36
31129;23;450
6320;10;361
9214;10;342
22222;8;365
2265;4;2
35359;48;37
1242;2;82
3395;1;316
15859;16;316
13696;28;341
2561;10;316
95119;20;332
59014;79;40
16026;36;113
20671;17;323
1937;1;331
1867;7;460
1575;0;316
27246;11;453
731;2;69
2491;7;12
5729;25;36
1993;2;42
12803;29;352
11220;21;331
29134;12;53
7120;7;53
14692;6;38
30131;82;316
12139;35;22
4704;5;335
9464;4;47
1347;0;450
7333;23;22
19672;28;324
43692;8;316
4732;3;316
19923;177;316
12700;56;36
1814;0;342
6981;2;37
1720;0;36
4205;6;431
12202;114;36
2907;11;316
36716;53;36
12701;27;38
1390;5;52
4430;16;335
88432;41;375
1436;2;367
3238;12;386
5978;15;69
12202;16;30
1296;0;316
1736;2;367
1041;2;0
69721;23;39
5728;6;0
2323;2;328
8891;14;330
12463;30;36
2046;6;81
30061;73;437
24154;63;352
8625;16;345
2989;3;17
3166;5;36
42580;75;89
3441;7;74
3829;3;316
2120;1;31
2354;5;437
124003;57;351
2402;5;316
3662;7;53
1956;3;22
1942;4;1
8558;12;335
5730;11;361
1324;3;58
5713;5;361
1023;0;36
11455;12;316
37158;15;0
8716;3;0
6789;17;394
2270;8;316
72462;118;368
119790;167;36
3524;9;454
3942;4;98
6475;9;316
8965;5;45
2187;5;316
25151;47;316
46315;89;316
7637;19;103
4361;7;361
5421;13;36
8965;11;1
1548;2;43
3408;13;377
16436;46;384
21213;19;318
3358;8;322
23158;19;411
26658;80;316
12012;18;36
1856;2;316
7584;12;0
10812;21;380
4186;11;92
4080;7;326
9214;27;400
1602;4;361
2676;4;36
1777;3;422
1568;0;316
13442;19;345
3736;13;39
2740;5;332
2161;8;36
11991;9;36
20668;15;316
17929;77;319
17431;2;316
476;1;0
8953;19;15
4732;6;36
2134;0;126
30878;28;316
14256;48;318
19872;20;385
1882;8;373
7475;18;316
22162;55;36
8717;13;318
2991;16;316
31864;62;1
4040;11;0
3058;6;316
6755;19;354
7721;11;112
21998;64;36
5265;10;69
2439;7;318
3729;8;344
4732;4;57
7250;17;44
1840;1;33
7425;16;316
4043;2;373
5972;12;460
1637;3;81
1989;4;22
1204;3;330
5230;7;50
2115;5;373
13794;13;100
35359;29;384
6394;5;6
14692;3;41
15937;3;325
2954;4;36
13198;23;69
2487;3;361
1917;5;321
8556;15;7
39099;52;36
32290;9;316
7720;15;42
4479;10;12
5657;13;36
4322;10;36
18679;39;25
7062;9;0
13447;13;22
4865;7;0
4232;12;47
8812;11;11
32623;33;54
9712;29;0
8716;15;134
3959;6;346
24652;46;89
19193;8;0
5978;10;22
7008;21;0
4961;26;36
10184;30;316
4906;16;47
11206;24;316
1967;3;49
3119;4;129
2484;6;39
4399;13;126
3328;6;121
7222;14;38
20716;23;0
5109;8;7
2650;8;36
3558;2;0
1776;2;0
2439;8;34
1291;4;328
7722;27;12
5010;8;80
4164;13;395
1346;2;47
28749;11;316
9712;32;36
6810;8;7
8219;17;0
4083;12;61
9636;3;328
1620;2;336
6476;14;1
1025;2;316
6475;19;126
5231;11;361
3860;16;316
11718;37;319
